₩,항목,발견된 이슈 및 현상,AI 개발 프롬프트,우선순위,완료여부
381,대전 드래그 3D 파티클 궤적 제거 및 1px 점선 벡터 슬림화,손패 카드를 드래그할 때 두꺼운 3D 빔 궤적이 전장 보드를 가리고 터치 이동 시 지연 유발.,"Streamline Card Drag Trajectory to 1px Dashed Vector per design.md (`BattleTrajectory.vue`). Replace heavy 3D particle energy beams during touch dragging with a lightweight 1px dashed SVG vector line (`rgba(0, 229, 255, 0.5)`), reducing GPU render load and decluttering battlefield touch gestures.",중간,
382,보드 100% 장악 시 '토탈 이클립스 블랙홀' 전장 소멸 연출,보드를 9:0으로 완벽하게 캡처했을 때 전장을 100% 지배한 플레이어의 압도적인 성취감과 비주얼 임팩트가 부족함.,"Implement 'Total Eclipse Domination' Full-Board Capture FX (`BattleEclipseFX.vue` & `BattleHUD.vue`). Trigger a full-board cosmic black-hole vortex animation that sweeps away defeated enemy tiles upon securing a 100% board capture on `/play`, delivering an awe-inspiring visual triumph.",높음,
383,보스 토벌 누적 시 '미니 도트 펫' 해금 몬스터 비스티아리움 시스템,스테이지 몬스터들을 격파해도 몬스터 데이터를 수집하고 육성하는 RPG 특유의 도감 수집 및 동행 재미가 결여됨.,"Implement Monster Hunter Beastarium & Mini-Pet System (`MonsterBeastarium.vue` & `CardCodexView.vue`). Unlock miniature follow-pets in the lobby and passive exploration gold buffs (+2%) upon defeating specific mission chapter bosses 3+ times, creating engaging bestiary completion goals.",중간,
384,수동 5연승 달성 시 '6장 카드 짝맞추기' 보너스 미니게임,수동 5연승 고난도 연승을 이어가도 연속 승리에 따른 미니게임 형태의 인터랙티브 추가 보상 기회가 부족함.,"Add 5-Streak 'Lucky Card Match' Memory Mini-Game (`LuckyMatchMiniGame.vue` & `BattleResult.vue`). Present a 6-card memory matching bonus room after every 5 consecutive manual mission wins, allowing players to flip and match card pairs for guaranteed summon tickets and gem bounties.",높음,
385,8시간 오프라인 자동 파밍 '미션 원정대(Expedition)' 시스템,게임을 켜두지 않는 오프라인 시간 동안에는 자동전투 혜택을 받을 수 없어 앱을 계속 켜두어야 하는 부담 발생.,"Implement Offline 'Expedition Patrol' Auto-Farming Mode (`MissionExpeditionEngine.js` & `MissionSelectView.vue`). Dispatch 5-hero teams to cleared mission stages for up to 8 hours of offline background farming (1 clear per 30 mins), welcoming players back with a loaded treasure chest on login.",중간,
386,4타일 십자 동시 캡처 시 '크로스 도미네이션' 전장 충격파 연출,중앙 타일에서 상하좌우 4개 적 카드를 단번에 뒤집는 전설적인 4타일 캡처 시 일반 1장 뒤집기와 동일한 파티클만 나와 기쁨이 반감됨.,"Implement 'Cross Domination' 4-Way Capture Shockwave FX (`BattleCrossDominationFX.vue` & `BattleHUD.vue`). Trigger a full-screen golden flash, cross-shaped particle shockwave, and triumphant orchestral fanfare upon landing a simultaneous 4-tile capture on `/play`, celebrating masterstroke geometric plays.",높음,
387,보스 수동 토벌 시 3개 상자 중 1개 선택 '트레저 체스트 언락' 미니게임,보스를 처치한 후 결과창에서 고정된 보상만 나와 전리품 획득의 설렘과 손맛이 부족함.,"Add Post-Boss Victory 'Treasure Chest Pick' Mini-Game (`BossChestUnlock.vue` & `BattleResult.vue`). Present 3 mysterious golden treasure chests upon manually defeating boss stages, allowing players to pick and open 1 chest with interactive lock-breaking animations for randomized premium rewards.",높음,
388,연속 캡처 시 화면 황금불꽃 '피버 타임(Fever Mode)' 및 재화 2배 발동,전투 내내 동일한 BGM과 템포가 유지되어 다중 캡처 성공 시의 즉각적인 도파민 분출 및 시청각적 카타르시스가 부족함.,"Implement Fever Mode Combo System in Mission Battles (`BattleFeverEngine.js` & `BattleHUD.vue`). Charge a combo meter on consecutive tile captures to trigger an adrenaline-fueled 'Fever Time' (2x currency drop multipliers, glowing golden border flames, and dynamic synth-wave audio transition).",높음,
389,전술가 숙련도 레벨업 및 커스텀 전장 오라 스킨 해금,미션 클리어 후 주어지는 레벨업이 단순 계정 수치 증가에 그쳐 전략적 숙련도를 뽐낼 수 있는 시각적 성장 보상 체계 부재.,"Implement Tactician Mastery Leveling & Battlefield Customization (`TacticianMastery.js` & `BattleBoard.vue`). Introduce a leveling ladder driven by strategic achievements that unlocks equipable 3x3 board perimeter skins (Neon, Magma, Frost Auras) and vanity profile badges.",중간,
390,연쇄 캡처 시 점진적 피치 상승 콤보 SFX 및 2D 마이크로 화면 진동,카드가 연속으로 뒤집힐 때 효과음 톤과 화면이 밋밋하여 다중 점령 시의 타격감과 짜릿한 쾌감이 충분히 전달되지 않음.,"Implement Progressive Combo Audio & Micro Screen-Shake FX (`BattleAudioEngine.js` & `BattleFXEngine.js`). Pitch-shift capture sound effects upward with each cascading flip (+0.1 pitch multiplier per hit) and trigger a subtle 100ms 2D screen shake on 3+ combos, maximizing visceral multi-capture satisfaction during mission battles.",높음,
391,영웅 소속/종족 조합에 따른 '세트 시너지(Deck Bond)' 패시브 발동,개별 카드의 깡스탯만 보게 되어 영웅 간의 스토리적 인연이나 종족/진영 시너지를 조합하는 덱빌딩의 수집 재미 결여.,"Implement Faction & Bond Set Synergy System (`DeckSynergyEngine.js` & `BattleHUD.vue`). Activate dynamic team-wide passive bonuses (e.g. 3-Hero Guardian Shield, 3-Mage Skill CD Reduction) when deploying matching faction hero cards in mission decks, accompanied by glowing bond crests at match start.",중간,
392,50층 주간 챌린지 던전 '무한의 시련 탑' 및 다이아 랭킹 보상 체계,정규 미션 챕터 클리어 후 반복 플레이 시 새로운 도전 목표와 유저 간의 실력 경쟁/랭킹 뽐내기 콘텐츠 부족.,"Add Weekly 'Tower of Trials' Infinite Ascent Challenge (`TowerOfTrials.vue` & `TowerRewardService.js`). Introduce a 50-floor weekly dungeon climbing mode with escalating modifiers, capping auto-play at floor 30 and reserving top-tier floors for manual tactical mastery with weekly tiered diamond payouts.",높음,
393,유저가 AI 플레이 성향을 직접 조립하는 '전술 지침(Gambit)' 튜닝 시스템,자동전투 AI의 동작 방식이 고정되어 있어 유저가 원하는 덱 성향에 맞게 커스텀할 수 없음.,"Implement Player-Configured 'Gambit' Tactics for Auto-Play (`BattleGambitConfig.vue` & `BattleAI.js`). Provide a 3-slot priority customization UI in deck prep (e.g., Prioritize Element Counters > Secure Corners > Ace Preservation), allowing players to program their own bespoke AI battle logic for mission farming.",중간,
394,연쇄 캡처 시 아케이드 '콤보 아나운서 배너' 및 2D 네온 글리터 연출,대량 연쇄 뒤집기 성공 시 수치만 조용히 바뀌어 아케이드 게임 특유의 텍스트 연출 쾌감이 부족함.,"Implement Arcade Combo Announcer Banner in Mission Battles (`BattleComboAnnouncer.vue` & `BattleHUD.vue`). Trigger progressive animated floating badges (`DOUBLE FLIP!`, `TRIPLE FLIP!`, `MEGA FLIP!`) with vibrant 2D neon glitter when multi-tile chain captures occur, delivering instant arcade excitement during high-IQ placement plays.",높음,
395,영웅 미션 50승 달성 시 '골든 마스터리 홀로그램 스킨' 진화 해금,카드를 오래 육성해도 외형이 동일하여 애정하는 영웅 카드를 오래 플레이한 유저의 자랑거리와 시각적 만족도 결여.,"Implement 50-Win Hero 'Golden Mastery Skin' Evolution (`CardMasterySkinEngine.js` & `CardTile.vue`). Unlock an animated golden border skin and shimmering holographic particle overlay when an individual hero card reaches 50 mission victories, rewarding dedicated card collectors with prestige visual progression.",중간,
396,결정타 캡처 시 0.3초 '클러치 K.O. 슬로우모션' 타격 연출,승패를 가르는 결정적인 타일 캡처 순간에도 일반적인 평범한 뒤집기 템포로 끝나 승리의 극적인 카타르시스 부족.,"Implement Dramatic 'Clutch K.O. Slow-Motion' Finisher FX (`BattleFinisherFX.vue` & `BattleEngine.js`). Trigger a 300ms cinematic time-dilation effect (grayscale flash, subtle camera zoom, and heavy sub-bass impact SFX) upon landing the match-winning decisive capture on `/play`, delivering an exhilarating climax to mission battles.",높음,
397,기상천외한 특수 플레이 도전 '비밀 업적 스탬프북' 시스템,기발하고 유머러스한 플레이 방식을 시도할 만한 수집형 챌린지 요소 부족.,"Implement Secret Achievement Stamp Book Showcase (`SecretStampBook.vue` & `AchievementService.js`). Track unconventional gameplay feats (e.g. Perimeter-Only Victory, 1-HP Win, Zero-Skill Sweep) that reward animated golden stamp approvals, rare vanity titles, and gem bounties to foster quirky theorycrafting.",중간,
398,연속 캡처 시 BGM 비트 가속 '다이내믹 템포 시프트' 반응형 오디오 구현,전황이 유리해지거나 대량 연쇄 캡처가 터져도 배경음악 템포가 일정하여 승리의 고조감이 청각적으로 전달되지 않음.,"Implement Dynamic Interactive BGM Beat Acceleration (`BattleAudioEngine.js` & `AudioService.js`). Speed up background audio tempo (BPM +15%) and layer high-energy synthesizer tracks in real-time as combo counts rise on `/play`, providing adrenaline-pumping acoustic rewards for consecutive captures.",높음,
399,미션 챕터 정복 시 '영웅 승리 세레머니 도트 모션' 해금 시스템,승리 결과 화면에서 영웅 카드가 정적인 일러스트로만 표시되어 승리의 성취감과 개성 표현의 재미 부족.,"Implement Unlockable Hero Victory Emotes & Pixel Animations (`HeroVictoryEmotes.vue` & `BattleResult.vue`). Reward chapter-clear 3-star achievements with unique 2D pixel victory celebrations and voice lines for MVP heroes, letting players customize triumph screens.",중간,
400,보스 2개 약점 1타 동시 파쇄 시 '더블 브레이커 크레이트' 지급,보스의 다중 약점을 정밀한 수동 각도 계산으로 1턴에 한꺼번에 파쇄하는 슈퍼 플레이에 대한 특별 보상 부재.,"Implement 'Double Weak-Point Breaker' Instant Bounty (`BattleDoubleBreakReward.js` & `BattleResult.vue`). Detect single-move double weak-point breaks against boss cards during manual missions, instantly awarding a 'Double Breaker Crate' (2x Legendary Rune Summon Stones & 20 Gems).",높음,
401,자동전투 실시간 지휘 '3종 전술 스탠스(ATK/DEF/BAL)' 전환기,자동전투 중 적의 돌발적인 고파워 카드 출현이나 역점령 위기 상황에서도 동일한 일괄 성향으로만 플레이함.,"Implement 1-Tap Real-Time Tactical Stance Switcher for Auto-Play (`BattleStanceController.vue` & `BattleAI.js`). Add a 3-way live stance toggle (`[⚔️ Attack | 🛡️ Defense | ⚖️ Balanced]`) in the battle HUD, dynamically altering AI placement weighting on the fly without interrupting auto-play flow.",중간,
402,파워 우위 캡처 시 '크리티컬 글래스 브레이크' 유리 파쇄 연출,적 카드를 파워 우위로 뒤집을 때 모든 캡처가 동일한 종이 넘김 효과로만 처리되어 시각적 파괴감 부족.,"Implement 'Critical Glass Shatter' Capture Impact FX (`BattleShatterFX.vue` & `BattleHUD.vue`). Trigger an explosive 2D glass-shattering particle overlay and crisp break sound when flipping enemy cards with a +3 power differential or on 2+ chain combos, delivering visceral sensory impact during dominant moves.",높음,
403,영웅 100회 출전 시 '고유 각성 보이스 및 홀로그램 배지' 해금 시스템,특정 영웅 카드를 애정을 담아 100판 이상 메인 덱으로 기용해도 체감할 수 있는 유대감/상호작용 요소 부재.,"Implement 100-Battle Hero 'Commander Voice & Hologram Badge' Milestone (`HeroMasteryVoice.js` & `CardDetailModal.vue`). Unlock exclusive awakened Japanese/Korean combat voice lines and an animated holographic commander badge when an individual hero reaches 100 mission deployments, enriching character bonding rewards.",중간,
404,보스 3콤보 수동 토벌 시 타이밍 기반 '황금 보물상자 다트' 미니게임,보스전에서 극적인 역전 콤보로 완승을 거두었을 때 수동 조작 숙련도를 시험하고 대박을 터뜨릴 수 있는 미니게임 기회 부족.,"Add Post-Boss Multi-Flip 'Treasure Dartboard' Mini-Game (`TreasureDartMiniGame.vue` & `BattleResult.vue`). Trigger an interactive timing-based dartboard mini-game upon manually defeating a boss via 3-tile combo captures, allowing players to aim and throw for jackpot prizes (Legendary Summon Tickets & 100 Gems).",높음,
405,자동 연속 파밍 중 'N/R등급 자동 분해 및 골드 환전' 스마트 필터,자동 연속 파밍을 오래 돌려둘 때 N/R 등급 일반 카드가 가방에 가득 차서 파밍이 중간에 멈추는 번거로움 발생.,"Implement Smart Auto-Disassemble Filter during Auto-Repeat Farming (`AutoFarmDisassemble.js` & `BattleHUD.vue`). Automatically convert incoming low-tier (N/R) loot drops into gold and enhancement dust when inventory capacity reaches 100%, preventing auto-farming halts during overnight grinding.",중간,
406,Z자 5타일 점령 시 '지그재그 라이트닝 제트' 번개 팡파레 연출,보드의 Z자 지그재그 전술 진형을 완성하는 고난도 수싸움 승리에 대한 시각적 쾌감 부족.,"Implement 'Z-Lightning Surge' 5-Tile Zigzag Alignment FX (`BattleZSurgeFX.vue` & `BattleHUD.vue`). Draw an animated golden lightning bolt zipping across the completed 5-tile Z-formation on `/play`, delivering electrifying visual and audio celebration for advanced geometric maneuvering.",높음,
407,주간 콤보 상위 3% '연쇄의 마술사' 홀로그램 칭호 해금,콤보 연쇄 뒤집기를 많이 만들어낸 콤보 장인 전용 주간 랭킹 보상 부재.,Implement Weekly 'Combo Magician' Cumulative Chain Ranking (`ComboRankingEngine.js` & `MissionSelectView.vue`). Aggregate total weekly cascade flips and award top 3% combo masters the animated holographic 'Combo Magician' title and custom rainbow trail combat auras.,중간,
408,보스 3타일 캡처 토벌 시 '황금 해적 룰렛' 칼 꽂기 미니게임,보스전 승리 후 통쾌한 긴장감과 스릴을 즐기며 잭팟 보상을 터뜨릴 수 있는 피지컬 미니게임 부재.,"Add Post-Boss Multi-Flip 'Pirate Barrel Pop' Mini-Game (`PirateBarrelMiniGame.vue` & `BattleResult.vue`). Launch an interactive pirate barrel sword-poking mini-game upon manually defeating a boss with 3+ chain flips, popping the pirate for massive jackpot caches (350 Gems & 2x Mythic Rune Cores).",높음,
409,자동 파밍 중 '룬 4개 풀장착 가능 시 원탭 장착' 스마트 알림,출전 영웅의 룬 슬롯이 꽉 찼는지 실시간으로 알 수 없어 파밍을 자주 중단해야 하는 번거로움 발생.,Implement 'Auto Rune-Equip Notification Manager' in Auto-Repeat Farming (`AutoFarmRuneEquip.js` & `BattleHUD.vue`). Trigger a real-time prompt and 1-tap quick auto-equip shortcut when farming yields sufficient matching runes to fully deck out active heroes' 4 equipment slots.,중간,
410,L자 5타일 점령 시 '엘리멘탈 L-스톰' 소용돌이 팡파레 연출,보드의 L자 진형을 완성하는 기하학적 코너 장악 승리에 대한 시각적 보상감 부족.,"Implement 'Elemental L-Storm' 5-Tile L-Formation FX (`BattleLStormFX.vue` & `BattleHUD.vue`). Trigger a spiraling 2D elemental vortex storm animation across connected L-shaped friendly tiles on `/play`, rewarding strategic corner flank locks.",높음,
411,주간 스피드런 상위 5% '전광석화의 지휘관' 번개 오라 해금,미션 클리어 타임을 단축하며 스피드런을 즐기는 하드코어 수동 유저들의 랭킹 보상 체계 부재.,"Implement Weekly 'Flash Commander' Speedrun Ranking Rewards (`SpeedrunRankingEngine.js` & `MissionSelectView.vue`). Rank players by total cumulative mission clear times each week, awarding top 5% speedrunners the glowing 'Flash Commander' title and character lightning sprint trail auras.",중간,
412,보스 3타일 캡처 토벌 시 '황금 양궁 과녁' 미니게임,보스전에서 완승을 거두었을 때 활을 쏘아 정중앙을 맞추는 피지컬 손맛의 아케이드 미니게임 부재.,"Add Post-Boss Multi-Flip 'Golden Archery Challenge' Mini-Game (`ArcheryChallengeMiniGame.vue` & `BattleResult.vue`). Launch an interactive wind-compensation archery shooting mini-game upon manually defeating a boss with 3+ chain flips, hitting the gold bullseye for jackpot diamond and mythic rune caches.",높음,
413,자동 파밍 중 '조각 목표 달성 시 다음 스테이지 자동 이동' 스마트 옵션,특정 영웅 카드 조각 목표 수량이 모여도 동일 스테이지를 계속 헛도는 문제.,"Implement 'Sequential Shard Target Auto-Switcher' for Auto-Repeat Farming (`AutoFarmShardTarget.js` & `BattleHUD.vue`). Automatically transition auto-farming to the next designated hero shard stage once the current hero's shard collection quota is fulfilled, streamlining multi-character ascension farming.",중간,
414,Three.js 기반 경량 복셀 샌드박스 청크(Chunk) 렌더러 및 블록 설치/파괴 구현,SNS Hero 플랫폼 내에 3D 복셀 월드 샌드박스 탐험 및 블록 설치/파괴 모드 부재.,"Implement Lightweight Three.js Voxel Sandbox Engine (`VoxelWorldEngine.js` & `VoxelCanvas.vue`). Build a 16x16x16 chunk-based voxel terrain renderer utilizing `THREE.InstancedMesh` with a single 1024x1024 texture atlas to minimize WebGL draw calls, supporting raycast-driven real-time block destruction (left-click) and block placement (right-click) at 60fps in the browser.",높음,
415,Pointer Lock API 기반 1인칭 FPS 조작계 및 히트스캔 총기 발사 시스템,브라우저 환경에서 플러그인 없이 즉시 실행 가능한 정통 1인칭 3D FPS 슈팅 게임 조작계 부재.,"Implement Browser 3D FPS First-Person Controller & Hitscan Shooting (`FPSController.js` & `FPSWeaponView.vue`). Utilize the HTML5 `Pointer Lock API` for mouse look, integrate WASD/jump movement with AABB obstacle collision, and build a raycast hitscan shooting mechanic featuring dynamic weapon recoil sway, crosshair bloom, and muzzle flash sprites.",높음,
416,2D 픽셀 영웅 스프라이트를 3D 복셀 캐릭터로 자동 변환하는 파이프라인,기존 2D 도트 캐릭터 자산을 3D 복셀/FPS 게임 모드에서 그대로 3D 플레이어 모델로 활용할 수 있는 자동 변환기 부재.,"Build 2D Pixel to 3D Voxel Hero Avatar Conversion Pipeline (`VoxelAvatarConverter.js` & `HeroVoxelModel.vue`). Parse 32x32 2D hero pixel sprites to programmatically generate animated 3D blocky avatar meshes with hierarchical limbs (Head, Torso, Arms, Legs), supporting walking/jumping keyframe interpolations in 3D game scenes.",중간,
417,3D 복셀/FPS 전장 A* 패스파인딩 AI 봇 자동 전투 및 방치형 파밍,3D 게임 모드에서 수동 조작 외에 자동으로 채굴하거나 FPS 사격 대전을 펼치는 AI 봇 자동플레이 시스템 부재.,"Implement 3D Navigation & AI Bot Auto-Combat System (`VoxelBotAI.js` & `FPSBotManager.js`). Build a 3D A* pathfinding and line-of-sight target acquisition engine for AI bots in voxel/FPS arenas, enabling automated block mining, enemy auto-aim engagements, and spectator idle-farming reward loops.",중간,
418,마인크래프트형 3x3 3D 복셀 조합대(Crafting Table) 및 핫바 시스템,채굴한 3D 복셀 블록을 조합하여 도구 및 아이템으로 제작하는 크래프팅 인벤토리 시스템 부재.,"Implement 3x3 Voxel Crafting & Inventory Hotbar System (`VoxelCraftingEngine.js` & `VoxelInventoryUI.vue`). Build a Minecraft-style 9-slot active hotbar with keybind selection (1-9) and a 3x3 crafting recipe grid parser to craft voxel tools (pickaxes, swords) with durability tracking in WebGL scenes.",높음,
419,다중 무기 스왑 및 탄도 궤적(Bullet Tracers) 슈팅 시스템,3D FPS 게임 모드에서 다양한 총기 스왑 및 실감 나는 발사 반동/탄도 궤적 렌더링 시스템 부재.,"Build 3D FPS Weapon Arsenal & Bullet Tracer System (`FPSWeaponArsenal.js` & `WeaponFX.vue`). Implement multi-weapon switching (Pistol, Shotgun, Rifle, Sniper) with unique recoil bloom, reload animations, sound triggers, and lightweight `THREE.Line` bullet tracer ribbons on WebGL canvas.",높음,
420,WebSocket 기반 저지연 3D 실시간 위치/회전 보간(Dead Reckoning) 멀티플레이 룸,여러 플레이어가 동일한 3D 복셀/FPS 맵에 동시 접속하여 실시간으로 건설하거나 사격전을 펼치는 멀티플레이 네트워크 룸 부재.,Implement WebSocket 3D Multiplayer Sync & Interpolation Engine (`VoxelMultiplayerSync.js` & `MultiplayerRoom.vue`). Build a low-latency network state synchronization layer with dead-reckoning position/quaternion interpolation and delta-compressed block modification packets for multi-user voxel/FPS rooms.,중간,
421,모바일 브라우저 60fps 유지를 위한 '적응형 시야 거리(Adaptive Render Distance) & LOD' 시스템,모바일 저사양 기기에서 3D 복셀/FPS 구동 시 프레임 드랍이 발생하여 적응형 렌더링 최적화 모듈 필요.,Implement Dynamic LOD & Adaptive Render Distance Manager (`VoxelLODManager.js` & `ShaderOptimizer.js`). Monitor real-time browser framerates to dynamically throttle active voxel chunk render distances (4 to 12 chunks) and apply greedy-meshed low-poly geometry for distant terrain on low-spec mobile WebViews.,중간,
422,복셀 광산 서바이벌 디펜스 (Voxel Mining Defense),"마인크래프트형 3D 블록 채굴/건설과 타워 디펜스가 결합된 3D 샌드박스 디펜스 게임 모드. 낮 페이즈(3분) 동안 16x16x16 청크에서 자원을 채굴하여 영웅 코어 주변에 방어벽을 건설하고, 밤 페이즈(2분) 동안 몰려오는 복셀 몬스터 웨이브를 막아내는 5웨이브 서바이벌.","Implement 'Voxel Mining Defense' Game Engine (`VoxelDefenseEngine.js` & `VoxelDefenseView.vue`). Create a Three.js 16x16x16 chunk-based voxel terrain sandbox using `THREE.InstancedMesh` for real-time raycast block mining/placement during day phases, and A* pathfinding monster wave defense during night phases.",높음,
423,3D 픽셀 스트라이크 아레나 (Pixel Strike Arena),HTML5 Pointer Lock API 및 레이캐스팅 탄도학 기반 8인 개인전/팀전 3D 웹 픽셀 FPS 데스매치 게임 모드. 맵에서 권총/샷건/라이플/스나이퍼를 파밍하고 점프패드와 텔레포트를 활용하여 5분 내 20킬을 먼저 달성하는 실시간 사격 아레나.,"Implement 'Pixel Strike Arena' 3D Web FPS (`FPSArenaController.js` & `PixelStrikeArenaView.vue`). Build an 8-player arena deathmatch engine utilizing HTML5 `Pointer Lock API` for mouse look, hitscan raycasting shooting with skeletal hitboxes (Headshot 2.5x), 4-weapon inventory swapping with tracer lines, and real-time killfeed scoring.",높음,
424,3D 복셀 스카이 파쿠르 (Voxel Sky Parkour),"공중 부유섬에서 50개의 복셀 발판(점프대, 사라지는 얼음 블록, 슬라임 탄성 블록, 회전 통나무)을 돌파하는 타임어택 플랫포머 점프맵 모드. 물리 기반 점프 역학과 체크포인트 리스폰, 0.01초 단위 밀리초 랭킹 스톱워치 탑재.","Implement 'Voxel Sky Parkour' 3D Platformer Engine (`ParkourPhysicsEngine.js` & `VoxelParkourView.vue`). Create a 3D time-attack obstacle course featuring physics-based jump mechanics (Slime high-bounce, Ice sliding, Disappearing blocks), checkpoint respawning, 3rd-person follow camera, and millisecond-precision leaderboard timers in Three.js.",중간,
425,3D 복셀 거대 보스 레이드 (Voxel Colossus Raid),"신장 20m의 거대한 3D 복셀 타이탄 보스와 결투하는 액션 레이드 RPG 모드. 보스의 3단계 공격 패턴(내려찍기, 브레스, 낙석)을 구르기 무적 시간(I-Frame 0.2초)으로 회피하고, 다리/꼬리 부위 파괴(Part Break)로 그로기 상태를 유도하여 토벌.","Implement 'Voxel Colossus Raid' 3D Boss Battle Action Engine (`ColossusBossAI.js` & `VoxelColossusRaidView.vue`). Build a 3D boss raid arena featuring a 20m giant voxel boss with 3-phase telegraphing attack patterns, player dodge-roll invulnerability frames (I-Frames), limb part-break stun mechanics, and cinematic camera tracking in Three.js.",중간,
415,Pointer Lock API 기반 1인칭 FPS 조작계 및 히트스캔 총기 발사 시스템,브라우저 환경에서 플러그인 없이 즉시 실행 가능한 정통 1인칭 3D FPS 슈팅 게임 조작계 부재.,"Implement Browser 3D FPS First-Person Controller & Hitscan Shooting (`FPSController.js` & `FPSWeaponView.vue`). Utilize the HTML5 `Pointer Lock API` for mouse look, integrate WASD/jump movement with AABB obstacle collision, and build a raycast hitscan shooting mechanic featuring dynamic weapon recoil sway, crosshair bloom, and muzzle flash sprites.",높음,
416,2D 픽셀 영웅 스프라이트를 3D 복셀 캐릭터로 자동 변환하는 파이프라인,기존 2D 도트 캐릭터 자산을 3D 복셀/FPS 게임 모드에서 그대로 3D 플레이어 모델로 활용할 수 있는 자동 변환기 부재.,"Build 2D Pixel to 3D Voxel Hero Avatar Conversion Pipeline (`VoxelAvatarConverter.js` & `HeroVoxelModel.vue`). Parse 32x32 2D hero pixel sprites to programmatically generate animated 3D blocky avatar meshes with hierarchical limbs (Head, Torso, Arms, Legs), supporting walking/jumping keyframe interpolations in 3D game scenes.",중간,
417,3D 복셀/FPS 전장 A* 패스파인딩 AI 봇 자동 전투 및 방치형 파밍,3D 게임 모드에서 수동 조작 외에 자동으로 채굴하거나 FPS 사격 대전을 펼치는 AI 봇 자동플레이 시스템 부재.,"Implement 3D Navigation & AI Bot Auto-Combat System (`VoxelBotAI.js` & `FPSBotManager.js`). Build a 3D A* pathfinding and line-of-sight target acquisition engine for AI bots in voxel/FPS arenas, enabling automated block mining, enemy auto-aim engagements, and spectator idle-farming reward loops.",중간,
418,마인크래프트형 3x3 3D 복셀 조합대(Crafting Table) 및 핫바 시스템,채굴한 3D 복셀 블록을 조합하여 도구 및 아이템으로 제작하는 크래프팅 인벤토리 시스템 부재.,"Implement 3x3 Voxel Crafting & Inventory Hotbar System (`VoxelCraftingEngine.js` & `VoxelInventoryUI.vue`). Build a Minecraft-style 9-slot active hotbar with keybind selection (1-9) and a 3x3 crafting recipe grid parser to craft voxel tools (pickaxes, swords) with durability tracking in WebGL scenes.",높음,
419,다중 무기 스왑 및 탄도 궤적(Bullet Tracers) 슈팅 시스템,3D FPS 게임 모드에서 다양한 총기 스왑 및 실감 나는 발사 반동/탄도 궤적 렌더링 시스템 부재.,"Build 3D FPS Weapon Arsenal & Bullet Tracer System (`FPSWeaponArsenal.js` & `WeaponFX.vue`). Implement multi-weapon switching (Pistol, Shotgun, Rifle, Sniper) with unique recoil bloom, reload animations, sound triggers, and lightweight `THREE.Line` bullet tracer ribbons on WebGL canvas.",높음,
420,WebSocket 기반 저지연 3D 실시간 위치/회전 보간(Dead Reckoning) 멀티플레이 룸,여러 플레이어가 동일한 3D 복셀/FPS 맵에 동시 접속하여 실시간으로 건설하거나 사격전을 펼치는 멀티플레이 네트워크 룸 부재.,Implement WebSocket 3D Multiplayer Sync & Interpolation Engine (`VoxelMultiplayerSync.js` & `MultiplayerRoom.vue`). Build a low-latency network state synchronization layer with dead-reckoning position/quaternion interpolation and delta-compressed block modification packets for multi-user voxel/FPS rooms.,중간,
421,모바일 브라우저 60fps 유지를 위한 '적응형 시야 거리(Adaptive Render Distance) & LOD' 시스템,모바일 저사양 기기에서 3D 복셀/FPS 구동 시 프레임 드랍이 발생하여 적응형 렌더링 최적화 모듈 필요.,Implement Dynamic LOD & Adaptive Render Distance Manager (`VoxelLODManager.js` & `ShaderOptimizer.js`). Monitor real-time browser framerates to dynamically throttle active voxel chunk render distances (4 to 12 chunks) and apply greedy-meshed low-poly geometry for distant terrain on low-spec mobile WebViews.,중간,
422,복셀 광산 서바이벌 디펜스 (Voxel Mining Defense),"마인크래프트형 3D 블록 채굴/건설과 타워 디펜스가 결합된 3D 샌드박스 디펜스 게임 모드. 낮 페이즈(3분) 동안 16x16x16 청크에서 자원을 채굴하여 영웅 코어 주변에 방어벽을 건설하고, 밤 페이즈(2분) 동안 몰려오는 복셀 몬스터 웨이브를 막아내는 5웨이브 서바이벌.","Implement 'Voxel Mining Defense' Game Engine (`VoxelDefenseEngine.js` & `VoxelDefenseView.vue`). Create a Three.js 16x16x16 chunk-based voxel terrain sandbox using `THREE.InstancedMesh` for real-time raycast block mining/placement during day phases, and A* pathfinding monster wave defense during night phases.",높음,
423,3D 픽셀 스트라이크 아레나 (Pixel Strike Arena),HTML5 Pointer Lock API 및 레이캐스팅 탄도학 기반 8인 개인전/팀전 3D 웹 픽셀 FPS 데스매치 게임 모드. 맵에서 권총/샷건/라이플/스나이퍼를 파밍하고 점프패드와 텔레포트를 활용하여 5분 내 20킬을 먼저 달성하는 실시간 사격 아레나.,"Implement 'Pixel Strike Arena' 3D Web FPS (`FPSArenaController.js` & `PixelStrikeArenaView.vue`). Build an 8-player arena deathmatch engine utilizing HTML5 `Pointer Lock API` for mouse look, hitscan raycasting shooting with skeletal hitboxes (Headshot 2.5x), 4-weapon inventory swapping with tracer lines, and real-time killfeed scoring.",높음,
